Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2402854,"GBM, G34, sample 1 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402854/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402855,"DMG, K27, sample 2 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402855/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402856,"DMG, K27, sample 3 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402856/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402857,"DMG, K27, sample 4 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402857/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402858,"DMG, K27, sample 5 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402858/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402859,"GBM, G34, sample 6 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402859/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402860,"GBM, G34, sample 7 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402860/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402861,"DMG, K27, sample 8 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402861/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402862,"GBM, G34, sample 9 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402862/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402863,"DMG, K27, sample 10 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402863/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402864,"DMG, K27, sample 11 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402864/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402865,"DMG, K27, sample 12 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402865/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402866,"ATRT, SHH, sample 13 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402866/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402867,"GBM, G34, sample 14 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402867/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402868,"CONTR, CEBM, sample 15 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402868/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402869,"CONTR, CEBM, sample 16 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402869/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402870,"GBM, MYCN, sample 17 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402870/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402871,"DMG, K27, sample 18 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402871/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402872,"CONTR, CEBM, sample 19 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402872/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402873,"CONTR, CEBM, sample 20 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402873/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402874,"CONTR, CEBM, sample 21 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402874/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402875,"DMG, K27, sample 22 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402875/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402876,"GBM, G34, sample 23 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402876/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402877,"GBM, G34, sample 24 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402877/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402878,"GBM, G34, sample 25 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402878/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402879,"DMG, K27, sample 26 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402879/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402880,"GBM, G34, sample 27 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402880/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402881,"DMG, K27, sample 28 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402881/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402882,"GBM, G34, sample 29 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402882/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402883,"GBM, G34, sample 30 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402883/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402884,"LGG, PA PF, sample 31 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402884/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402885,"LGG, PA PF, sample 32 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402885/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402886,"CONTR, REACT, sample 33 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402886/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402887,"LGG, PA PF, sample 34 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402887/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402888,"LGG, PA PF, sample 35 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402888/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402889,"LGG, PA PF, sample 36 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402889/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402890,"LGG, PA PF, sample 37 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402890/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402891,"LGG, PA PF, sample 38 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402891/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402892,"LGG, PA MID, sample 39 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402892/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402893,"LGG, PA PF, sample 40 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402893/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402894,"LGG, PA PF, sample 41 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402894/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402895,"LGG, PA MID, sample 42 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402895/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402896,"LGG, PA PF, sample 43 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402896/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402897,"LGG, PA MID, sample 44 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402897/suppl",,"Martin Sill","Jan 14, 2018"
GSM2402898,"LGG, PA PF, sample 45 [reference set]","genomic","Homo sapiens",1,GPL13534,GSE90496;GSE109381,"IDAT","ftp://ftp.ncbi.nlm.nih.gov/geo/samples/GSM2402nnn/GSM2402898/suppl",,"Martin Sill","Jan 14, 2018"
